from,to,donation,weight
Gesamt 2014,AfD,168,
Gesamt 2015,AfD,485,
Gesamt 2016,AfD,329,
Gesamt 2017,AfD,559,
Gesamt 2018,AfD,485,
Gesamt 2019,AfD,1836,
Gesamt 2020,AfD,2046,
Gottfried Curio,Gesamt 2020,14,1
Gottfried Heller,Gesamt 2013,12,1
Gregor Scheipers,Gesamt 2013,15,1
Guenter Gruber,Gesamt 2020,11,1
Guenter Reimer,Gesamt 2013,13,1
Guido Reil,Gesamt 2019,10,1
Guido Reil,Gesamt 2020,31,1
Hannelore Niess,Gesamt 2019,15,1
Hannes Loth,Gesamt 2019,10,1
Hans Joachim Kuhs,Gesamt 2020,12,1
Hans Joachim Roensch,Gesamt 2018,124,3
Hans Wall,Gesamt 2014,15,1
Hansjoerg Mueller,Gesamt 2018,11,1
Prof Dr Harald Weyel,Gesamt 2018,13,1
Harm Rykena,Gesamt 2019,10,1
Hellmut Foelster,Gesamt 2013,14,1
Hentschke Bau GmbH,Gesamt 2017,20,1
Herbert Rebmann,Gesamt 2017,16,1
Heribert Friedmann,Gesamt 2018,14,1
Holger Hentschel,Gesamt 2020,12,1
Horst Lieberwirth,Gesamt 2013,12,1
Iris Nieland,Gesamt 2020,11,1
Jan Nolte,Gesamt 2020,10,1
Jan Schiffers,Gesamt 2019,10,1
Jens Kestner,Gesamt 2019,13,1
Jens Kestner,Gesamt 2018,13,1
Jens Maier,Gesamt 2019,12,1
Jens Maier,Gesamt 2018,12,1
Jens Maier,Gesamt 2020,13,1
Joachim Paul,Gesamt 2019,12,1
Joachim Paul,Gesamt 2018,11,1
Joachim Paul,Gesamt 2020,13,1
Joana Cotar,Gesamt 2019,11,1
Joana Cotar,Gesamt 2020,13,1
Jochen Haug,Gesamt 2019,14,1
Jochen Haug,Gesamt 2018,11,1
Jochen Haug,Gesamt 2020,13,1
Joerg Kuehne,Gesamt 2020,15,1
Joerg Nobis,Gesamt 2020,21,1
Joerg Schneider,Gesamt 2019,12,1
Joerg Schneider,Gesamt 2018,13,1
